,Code_postal,Commune,Voie,Lien,Description
0,1000,Pentagone,3 Septembre (place des),https://www.ebru.be/Streets/bruxelles-1000-place-des-3-septembre.html,"La place des 3 Septembre - Bruxelles Pentagone  (3 Septemberplein)

Origine du nom : des 3 septembre 1944 (libération de Bruxelles), 3 septembre 1943 (rafles des Juifs de nationalité belge) et 3 septembre 1942 (rafle des Juifs étrangers). La ""place"" a été inaugurée le 1er septembre 2018.   "
1,1000,Pentagone,Abattoir (boulevard de l'),https://www.ebru.be/Streets/bruxelles-1000-boulevard-de-l-abattoir.html,"Le boulevard de l'Abattoir - Bruxelles Pentagone  > Slachthuislaan

Origine du nom : de l'abattoir de Bruxelles, inauguré le 24 septembre 1841, qui s'y trouvait. La voie fut ouverte à la même époque.  "
2,1000,Pentagone,Abattoir (rue de l'),https://www.ebru.be/Streets/bruxelles-1000-rue-de-l-abattoir.html,"La rue de l'Abattoir - Bruxelles Pentagone  > Slachthuisstraat

Origine du nom : rue fut tracée vers 1835 sur les prairies bordant un des nombreux embranchements de la Senne (appelée Senne de Ransfort). Jusqu'en 1870, les jardins des maisons du côté nord étaient baignés par la Senne.  "
3,1000,Pentagone,Abricotier (rue de l'),https://www.ebru.be/Streets/bruxelles-1000-rue-de-l-abricotier.html,"La rue de l'Abricotier - Bruxelles Pentagone  > Abrikozeboomstraat

Bien que située dans le très vieux quartier des Marolles, cette rue n'est pas très ancienne. Elle ne fut tracée que vers 1850, à travers les dépendances démolies de l'hôpital Saint-Pierre. Ce ne fut d'abord qu'une impasse, que certains appelaient impasse de la Bonne Eau. En 1882, elle fut élargie et appelée rue de l'Abricotier, on ne sait pourquoi. Cependant, le populaire a toujours désigné cette voie sous le nom de Bloempanchgang. Un plan de 1910 a même officialisé cette appellation en la traduisant par allée du Boudin sphérique, on croit rêver...  Voici ce que nous apprend le Dictionnaire du Dialecte bruxellois, de Louis Quiévreux :

Bloempanch (bloedpens) : sorte de gros boudin, d'un diamètre d'environ 10 cm, fait de sang, de farine et de morceaux de gras de lard, toujours servi en grosses tranches. Le bloempanch est appelé aussi bufsteik mè roeite (du beefsteak avec des carreaux) et jambon du Congo.

Bloempanchgang : rue de l'Abricotier. ""Gang"", parce qu'autrefois, c'était une impasse... On n'est pas d'accord sur l'origine de cette dénomination. D'aucuns disent que l'inventeur du bloempanch habitait rue de l'Abricotier. D'autres prétendent que c'est parce que si on dépose, dans le haut de la rue, une boule de bloempanch, elle roulera jusqu'à la rue Haute, tant la déclivité est forte. Dans les quartiers populaires, les charcutiers débitent ""du chaud"", c'est à dire du bloempanch chaud qu'on appelait aussi ""du wermechaud""."
4,1000,Pentagone,Accolay (rue d'),https://www.ebru.be/Streets/bruxelles-1000-rue-d-accolay.html,"La rue d'Accolay - Bruxelles Pentagone  > Accolaystraat

Origine du nom : de la déformation de Jean Collet ou Colay, nom d'un patricien bruxellois qui céda en 1363 un grand terrain aux Frères Alexiens. La rue porte ce nom depuis au moins 1360, alors connue comme Akeleystrate.  15-17. Maisons néoclassiques classées par Arrêté royal du 30 juin 1994."
5,1000,Pentagone,Agora (galerie),https://www.ebru.be/Streets/bruxelles-1000-galerie-agora.html,"La galerie Agora - Bruxelles Pentagone  > Agoragalerij

Cette galerie, bâtie en 1965, a pris la place et le nom du cinéma Agora, qui brûla entièrement en mai 1959. C'était à l'époque le plus grand cinéma d'Europe. Inauguré en 1926, ce fut l'oeuvre de Paul Hamesse, grand spécialiste de tels projets.  "
6,1000,Pentagone,Akarova (place),https://www.ebru.be/Streets/bruxelles-1000-place-akarova.html,"La place Akarova - Bruxelles Pentagone  (Akarovaplein)

Origine du nom : d'Akarova, nom d'artiste de Marguerite Acarin (Saint-Josse-ten-Noode, le 30 mars 1904 - Ixelles, le 24 juin 1999), danseuse, choréographe, sculptrice, artiste peintre. Plusieurs de ces oeuvres se trouvent dans les parcs bruxellois. Cette place porte son nom depuis 2007.

Akarova est enterrée au cimetière d'Ixelles.

> avenue de l'Hippodrome (Ixelles), où elle avait sa salle de spectacle, aujourd'hui classée.  "
7,1000,Pentagone,Albertine (place de l'),https://www.ebru.be/Streets/bruxelles-1000-place-de-l-albertine.html,"La place de l'Albertine - Bruxelles Pentagone  > Albertinaplein

Origine du nom : de la proximité de la Bibliothèque royale de Belgique, surnommée l'Albertine, du nom du roi Albert Ier. La place, aménagée sur le tunnel de la Jonction Nord-Midi, porte ce nom depuis son inauguration en 1959.  La statue de la Reine Elisabeth - une oeuvre du sculpteur René Cliquet (1899-1977), inaugurée en 1970, exécutée en pierre de Massangis d'après des projets de Jean Rombeaux, à cette époque architecte de la Ville. © Jamain © 2020 - eBru/Willy Bouvier"
8,1000,Pentagone,Alexiens (rue des),https://www.ebru.be/Streets/bruxelles-1000-rue-des-alexiens.html,"La rue des Alexiens - Bruxelles Pentagone  > Cellebroersstraat

La rue des Alexiens est l'une des plus vieilles rues de Bruxelles, bien qu'elle soit située en dehors de la première enceinte de la cité. En fait, elle longe exactement le fossé intérieur de la muraille primitive, entre l'ancienne Steenpoort et la jonction de la rue de l'Etuve et la rue du Poinçon. Dès la fin du 14ème siècle, la rue est voué aux Alexiens et elle a gardé ce nom à travers toutes les vicissitudes jusqu'à nos jours (sauf durant les vingt ans de l'occupation française, lorsqu'elle fut renommée rue de la Révolution).  49. Le mur BD Le Jeune Albert, du dessinateur Yves Chaland, inauguré en mai 2000.



55. Le café La Fleur en Papier Doré / Het Goudblommeke van Papier, petite restauration. Un des plus charmants cafés de Bruxelles.


www.lafleurenpapierdore.be www.lafleurenpapierdore.be La Fleur en Papier Doré Le Jeune Albert"
9,1000,Pentagone,Allard (rue Ernest),https://www.ebru.be/Streets/bruxelles-1000-rue-ernest-allard.html,"La rue Ernest Allard - Bruxelles Pentagone  > Ernest Allardstraat

Origine du nom : d'Ernest Allard (Bruxelles, le 2 avril 1840 - Bruxelles, le 7 août 1878), avocat, journaliste, professeur, échevin de l'Enseignement de la Ville de Bruxelles. La rue porte son nom depuis 1887 environ. Anciens noms : rue de l'Étoile, rue d'Angleterre (Engelandtstraete) (17ème), rue Neuve (""Nuwe strate"") (1450).

Il existe une rue Allard à Schaerbeek et une rue Victor Allard à Uccle.  5. Maison natale de Edgar Pierre Jacobs (Bruxelles, le 30 mars 1904 - Lasne, le 20 février 1987), dessinateur de la célèbre série BD ""Blake et Mortimer""). Il habita ici jusque début avril 1910. Plaque en honneur d'Edgar Pierre Jacobs

© eBru 11/2021 © eBru 11/2021 © eBru 2021"
